soort,species,abbr,nPATDAT_excl_ob,nBehOve,nEigend,nHuur,nProLan,nErfpac,inPATDAT_excl_ob,inAntKem,inBraWou,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inHKeVoe,inZanVla,ofPATDAT_excl_ob,ofAntKem,ofBraWou,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofHKeVoe,ofZanVla,selPATDAT_excl_ob,selAntKem,selBraWou,selDemZKe,selGroGor,selKusWes,selLtHKem,selTaxand,selVArSch,selHKeVoe,selZanVla
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817",Fl,39,8,28,1,1,1,0.092495,0.009700,0.005733,0.018255,0.014026,0,0.001503,0.037310,0.002638,0,0.003330,0.001404,0.001245,0.000894,0.002912,0.005549,0,0.000116,0.004214,0.000980,0,0.000726,1.932244,1.714006,1.230142,4.008100,7.637950,0,0.160135,5.800940,1.348328,0,0.999091
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",Pp,52,15,36,1,0,0,0.107778,0.026780,0.004278,0.021971,0.016434,0.006796,0,0.009663,0.000867,0.006493,0.014497,0.001918,0.004031,0.000782,0.004109,0.007623,0.001336,0,0.001280,0.000378,0.000975,0.003705,2.251512,4.732064,0.917832,4.824060,8.949321,1.568254,0,1.502372,0.443280,1.144177,4.349236
struikaster,Baccharis halimifolia L.,Bh,27,10,15,0,1,1,0.152955,0,0,0,0, 0.136408,0,0,0.003761,0,0.012786,0.001302,0,0,0,0, 0.012830,0,0,0.000784,0,0.001563,3.195266,0,0,0,0,31.479970,0,0,1.922523,0,3.835938
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",Nm,17,7,8,1,0,1,0.028235,0.008177,0,0,0.003503,0,0.007179,0.001947,0.005202,0.000582,0.001645,0.000298,0.000730,0,0,0.000964,0,0.000386,0.000153,0.001344,0.000052,0.000249,0.589825,1.444843,0,0,1.907366,0,0.764666,0.302778,2.659180,0.102518,0.493367
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,21,7,14,0,0,0,0.099168,0.006770,0.016984,0.004326,0.012636,0,0,0.058453,0,0,0,0.001402,0.000809,0.002466,0.000643,0.004656,0,0,0.006149,0,0,0,2.071644,1.196251,3.644147,0.949793,6.881335,0,0,9.088091,0,0,0
beverrat,"Myocastor coypus Molina, 1782",Mc,14,3,10,1,0,0,0.069487,0.002669,0.014803,0.033583,0,0,0.002817,0,0.003546,0.009723,0.002346,0.000401,0.000130,0.000876,0.002035,0,0,0.000083,0,0.000500,0.000473,0.000194,1.451603,0.471689,3.176275,7.373713,0,0,0.300025,0,1.812401,1.713361,0.703815
moerashyacint,Pontederia cordata L.,Pco,28,5,18,3,1,1,0.081474,0.002630,0.001111,0.015928,0.008306,0.001107,0.010364,0.033135,0.002031,0.006862,0,0.000679,0.000185,0.000095,0.001395,0.001804,0.000102,0.000440,0.002055,0.000414,0.000482,0,1.702013,0.464750,0.238435,3.497335,4.523352,0.255562,1.103806,5.151708,1.038014,1.209184,0
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,Pq,19,4,13,0,2,0,0.101535,0.000846,0.042208,0.010486,0,0.019887,0.008235,0.003957,0.001071,0.014846,0,0.000547,0.000039,0.002337,0.000594,0,0.001184,0.000226,0.000159,0.000141,0.000675,0,2.121093,0.149432,9.056427,2.302390,0,4.589392,0.877129,0.615166,0.547567,2.616088,0
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,Pi,30,8,21,1,0,0,0.047445,0.005484,0.004809,0.010193,0.003811,0.010130,0.001486,0.003855,0.000000,0.003522,0.004154,0.000555,0.000543,0.000578,0.001254,0.001163,0.001310,0.000089,0.000336,0.000000,0.000348,0.000698,0.991142,0.969019,1.031930,2.238142,2.075409,2.337792,0.158305,0.599396,0.000057,0.620642,1.246124
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Kp,10,2,7,0,1,0,0.073410,0.037240,0.001251,0.004999,0.000752,0.001589,0,0.020462,0.007118,0,0,0.000149,0.000639,0.000026,0.000107,0.000040,0.000036,0,0.000309,0.000353,0,0,1.533557,6.580247,0.268438,1.097663,0.409321,0.366786,0,3.181322,3.638476,0,0
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lgr,66,15,41,4,4,2,0.140805,0.016587,0.004030, 0.053084, 0.019891,0.018559,0.002983,0.017681,0.005948,0,0.002042,0.006580,0.006556,0.001934, 0.026073, 0.024231,0.009581,0.000711,0.006150,0.006801,0,0.001371,2.941440,2.930882,0.864676,11.655419,10.831969,4.283098,0.317732,2.749050,3.040274,0,0.612652
wasbeer,"Procyon lotor L., 1758",Plo,24,5,18,1,0,0,0.132829,0.049854,0.034397,0.027054,0.005054,0.000194,0,0.012487,0,0.000237,0.003551,0.000910,0.002890,0.002421,0.001949,0.000903,0.000015,0,0.000637,0,0.000014,0.000350,2.774822,8.809228,7.380513,5.940145,2.752351,0.044840,0,1.941425,0,0.041799,1.065346
gele maskerbloem,Erythranthe guttata (DC.) G.L.Nesom,Eg,31,7,21,1,1,1,0.116766,0.020652,0.000979,0.010487,0.005343,0,0.003965, 0.067674,0.004125,0,0.003541,0.001026,0.001535,0.000088,0.000969,0.001224,0,0.000178, 0.004427,0.000887,0,0.000447,2.439269,3.649290,0.210087,2.302687,2.909620,0,0.422284,10.521855,2.108417,0,1.062199
rode Amerikaanse rivierkreeft,"Procambarus clarkii Girard, 1852",Pcl,27,7,17,0,1,2,0.035633,0,0.002375,0.002694,0.000666,0.025957,0,0.000850,0,0,0.003092,0.000705,0,0.000482,0.000560,0.000343,0.005672,0,0.000125,0,0,0.000878,0.744386,0,0.509530,0.591550,0.362621,5.990296,0,0.132112,0,0,0.927564
marmergrondel,"Proterorhinus semilunaris (Heckel, 1837)",Ps,5,2,3,0,0,0,0.129685,0,0,0,0,0,0.012834, 0.116851,0,0,0,0.000228,0,0,0,0,0,0.000115, 0.001530,0,0,0,2.709144,0,0,0,0,0,1.366969,18.167722,0,0,0
kleine waterteunisbloem,Ludwigia peploides (Kunth) P.H. Raven,Lp,4,2,1,1,0,0,0.405273, 0.371908,0,0.033364,0,0,0,0,0,0,0,0.000624, 0.004842,0,0.000540,0,0,0,0,0,0,0,8.466222,65.716078,0,7.325698,0,0,0,0,0,0,0
egeria,Elodea densa (Planch.) Casp.,Ed,1,0,1,0,0,0,0.052032,0,0,0, 0.052032,0,0,0,0,0,0,0.000050,0,0,0, 0.001297,0,0,0,0,0,0,1.086960,0,0,0,28.335027,0,0,0,0,0,0
ongelijkbladig vederkruid,Myriophyllum heterophyllum Michaux,Mh,11,2,8,0,1,0,0.118920, 0.083851,0,0,0,0,0,0.035069,0,0,0,0.000339, 0.002024,0,0,0,0,0,0.000745,0,0,0,2.484264,14.816455,0,0,0,0,0,5.452475,0,0,0
Aziatische boomwurger,Celastrus orbiculatus Thunb.,Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,Asclepias syriaca L.,As,5,2,2,0,1,0,0.020161,0.002091,0,0.001901,0,0,0,0.010248,0.005921,0,0,0.000034,0.000030,0,0.000034,0,0,0,0.000129,0.000244,0,0,0.421157,0.369529,0,0.417393,0,0,0,1.593274,3.026518,0,0
waterhyacint,Eichhornia crassipes (Martius) Solms,Ec,2,1,1,0,0,0,0.052981,0.008059,0,0,0,0,0,0.044921,0,0,0,0.000028,0.000036,0,0,0,0,0,0.000176,0,0,0,1.106774,1.424082,0,0,0,0,0,6.984268,0,0,0
watersla,Pistia stratiotes L.,Pst,5,2,2,0,1,0,0.066274,0,0,0,0.014138,0,0,0.052136,0,0,0,0.000128,0,0,0,0.000714,0,0,0.000751,0,0,0,1.384468,0,0,0,7.699073,0,0,8.105955,0,0,0
Californische rivierkreeft,"Pacifastacus leniusculus Dana, 1852",Plen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestreepte Amerikaanse rivierkreeft,"Procambarus acutus (Girard, 1852)",Pa,4,1,2,1,0,0,0.117373,0.024081,0, 0.063227,0.002595,0,0,0,0,0.027470,0,0.000363,0.000630,0, 0.002056,0.000209,0,0,0,0,0.000717,0,2.451952,4.255030,0,13.882627,1.413274,0,0,0,0,4.840633,0
Kaapse waterlelie,Aponogeton distachyos L.f.,Ad,1,0,1,0,0,0,0.038860,0,0,0.038860,0,0,0,0,0,0,0,0.000104,0,0,0.001090,0,0,0,0,0,0,0,0.811801,0,0,8.532455,0,0,0,0,0,0,0
grijze eekhoorn,"Sciurus carolinensis Gmelin, 1788",Sca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantsjoerese wilde rijst,Zizania latifolia (Griseb.) Hance ex F.Muell.,Zl,1,0,1,0,0,0,0.126230,0,0,0,0,0,0,0,0,0, 0.126230,0.000051,0,0,0,0,0,0,0,0,0, 0.000736,2.636966,0,0,0,0,0,0,0,0,0,37.869388
Pallas' eekhoorn,"Callosciurus erythraeus Pallas, 1779",Ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasaronskelk,Lysichiton americanus Hultén & H. St. John,La,2,0,1,1,0,0,0.020796,0.001393,0,0,0,0,0.019403,0,0,0,0,0.000052,0.000029,0,0,0,0,0.000245,0,0,0,0,0.434439,0.246201,0,0,0,0,2.066582,0,0,0,0
waterwaaier,Cabomba caroliniana Gray,Cca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese moerasslak,"Cipangopaludina chinensis (J.E.Gray, 1833)",Cch,2,0,1,1,0,0,0.453875, 0.098775,0, 0.355100,0,0,0,0,0,0,0,0.000087, 0.000161,0, 0.000719,0,0,0,0,0,0,0,9.481529,17.453482,0,77.968138,0,0,0,0,0,0,0
Kesslergrondel,"Ponticola kessleri (Günther, 1861)",Pk,2,0,2,0,0,0,0.074229,0,0,0, 0.074229,0,0,0,0,0,0,0.000036,0,0,0, 0.000927,0,0,0,0,0,0,1.550651,0,0,0,40.422605,0,0,0,0,0,0
wasbeerhond,"Nyctereutes procyonoides Gray, 1834",Np,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische hoornaar (soort),"Vespa velutina Lepeletier, 1836",Vv,429,84,315,6,16,8,0.016041,0.000890,0.002524,0.000937,0.001605,0.005007,0.000225,0.000822,0.001886,0.000501,0.001643,0.023013,0.010805,0.037198,0.014131,0.060017,0.079363,0.001644,0.008776,0.066211,0.006060,0.033857,0.335090,0.157324,0.541637,0.205753,0.873894,1.155584,0.023942,0.127785,0.964083,0.088238,0.492989
Leidse plant,Saururus cernuus L.,Sce,1,0,1,0,0,0,0.079486,0,0,0,0,0,0,0,0,0, 0.079486,0.000029,0,0,0,0,0,0,0,0,0, 0.000420,1.660476,0,0,0,0,0,0,0,0,0,23.846044
treurmaina,"Acridotheres tristis Linnaeus, 1766",At,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasanemoon,Houttuynia cordata Thunb.,Hc,4,2,2,0,0,0,0.027198,0.000879,0,0.004253, 0.018410,0,0,0.003657,0,0,0,0.000065,0.000018,0,0.000107, 0.001148,0,0,0.000065,0,0,0,0.568180,0.155286,0,0.933784,10.025500,0,0,0.568549,0,0,0
Turkse rivierkreeft,"Pontastacus leptodactylus (Eschscholtz, 1823)",Plep,3,0,3,0,0,0,0.162363,0,0.001508,0, 0.157444,0.003411,0,0,0,0,0,0.000099,0,0.000009,0, 0.002503,0.000023,0,0,0,0,0,3.391787,0,0.323562,0,85.739089,0.787093,0,0,0,0,0
sikahert,"Cervus nippon Temminck, 1838",Cn,4,1,2,1,0,0, 0.524053,0,0.038680,  0.472878,0.001060,0,0.011436,0,0,0,0, 0.000992,0,0.000752,  0.009411,0.000052,0,0.000110,0,0,0,0,10.947568,0,8.299365,103.828326,0.577187,0,1.217986,0,0,0,0
gewone gunnera,Gunnera tinctoria (Molina) Mirbel,Gt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marmerkreeft,"Procambarus virginalis Lyko, 2017",Pv,1,0,0,0,1,0,0.060447, 0.060447,0,0,0,0,0,0,0,0,0,0.000064, 0.000539,0,0,0,0,0,0,0,0,0,1.262747,10.680947,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Mb,1,0,1,0,0,0,0.017790,0,0,0,0,0,0.017790,0,0,0,0,0.000005,0,0,0,0,0,0.000027,0,0,0,0,0.371638,0,0,0,0,0,1.894794,0,0,0,0
Japans steltgras,Microstegium vimineum (Trin.) A. Camus,Mvim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontische stroomgrondel,"Neogobius fluviatilis (Pallas, 1814)",Nf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afrikaanse klauwkikker,"Xenopus laevis (Daudin, 1802)",Xl,1,0,1,0,0,0,0.155647,0,0,0,0, 0.155647,0,0,0,0,0,0.000043,0,0,0,0, 0.000474,0,0,0,0,0,3.251503,0,0,0,0,35.919982,0,0,0,0,0
fraai lampenpoetsersgras,Cenchrus setaceus (Forssk.) Morrone,Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grote vlotvaren,Salvinia molesta D.S.Mitch.,Sm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geknobbelde Amerikaanse rivierkreeft,"Faxonius virilis Hagen, 1870",Fv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
