soort,species,abbr,inHBTRL,inBE2100016,inBE2100024,inBE2100026,inBE2100040,inBE2200028,inBE2200031,inBE2200033,inBE2200038,inBE2300005,inBE2300006,inBE2300007,inBE2300044,inBE2400014,inBE2500002,inBE2100015,inBE2100017,inBE2100019,inBE2100020,inBE2100045,inBE2200029,inBE2200030,inBE2200032,inBE2200034,inBE2200035,inBE2200036,inBE2200037,inBE2200039,inBE2200041,inBE2200042,inBE2200043,inBE2400008,inBE2400009,inBE2400010,inBE2400011,inBE2400012,inBE2500001,inBE2500003,inBE2500004,ofHBTRL,ofBE2100016,ofBE2100024,ofBE2100026,ofBE2100040,ofBE2200028,ofBE2200031,ofBE2200033,ofBE2200038,ofBE2300005,ofBE2300006,ofBE2300007,ofBE2300044,ofBE2400014,ofBE2500002,ofBE2100015,ofBE2100017,ofBE2100019,ofBE2100020,ofBE2100045,ofBE2200029,ofBE2200030,ofBE2200032,ofBE2200034,ofBE2200035,ofBE2200036,ofBE2200037,ofBE2200039,ofBE2200041,ofBE2200042,ofBE2200043,ofBE2400008,ofBE2400009,ofBE2400010,ofBE2400011,ofBE2400012,ofBE2500001,ofBE2500003,ofBE2500004,selHBTRL,selBE2100016,selBE2100024,selBE2100026,selBE2100040,selBE2200028,selBE2200031,selBE2200033,selBE2200038,selBE2300005,selBE2300006,selBE2300007,selBE2300044,selBE2400014,selBE2500002,selBE2100015,selBE2100017,selBE2100019,selBE2100020,selBE2100045,selBE2200029,selBE2200030,selBE2200032,selBE2200034,selBE2200035,selBE2200036,selBE2200037,selBE2200039,selBE2200041,selBE2200042,selBE2200043,selBE2400008,selBE2400009,selBE2400010,selBE2400011,selBE2400012,selBE2500001,selBE2500003,selBE2500004
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,0.300544,0.016564,0.005276,0.007248, 0.048445, 0.005802, 0.039817,0.002244,0.000662,0,0.008368,0.014888,0.006078, 0.050631,0,0.002319,0.033143,0,0,0,0.016429,0.000122, 0.024327,0,0.002177,0,0,0, 0.004909,0,0,0,0.000052,0,0,0.006005,0,0,0.005040,0.003875,0.009802,0.001969,0.002009, 0.015230, 0.014666, 0.014864,0.001204,0.000344,0,0.001265,0.003634,0.004590, 0.013962,0,0.001521,0.008564,0,0,0,0.002678,0.000044, 0.016638,0,0.000788,0,0,0, 0.010493,0,0,0,0.000039,0,0,0.003623,0,0,0.002227,3.900124,9.866206,1.982210,2.022327,15.329388,14.761262,14.960744,1.212207,0.346324,0,1.273202,3.657197,4.619643,14.052399,0,1.531323,8.619424,0,0,0,2.695718,0.043969,16.746635,0,0.793251,0,0,0,10.561566,0,0,0,0.038774,0,0,3.646613,0,0,2.241853
late guldenroede,Solidago gigantea Aiton,Sg,0.168717,0.000979,0.006665,0.011636,0.014850,0.001458,0.008808,0.002555,0.000895,0.003288,0.015122,0.009586,0.007431,0.016684,0.000490,0.002209,0.004375,0.000460,0.000614,0.001663,0.006924,0.004217,0.003713,0.001633,0.000822,0, 0.008963,0.000636,0.001112,0.000758,0.001157,0.001175,0.001034,0.004369,0.010037,0.002621,0.006599,0.000910,0.002267,0.016742,0.004457,0.019149,0.024828,0.035932,0.028361,0.025308,0.010554,0.003581,0.010148,0.017594,0.018007,0.043188,0.035408,0.002735,0.011153,0.008700,0.006871,0.009435,0.048354,0.008687,0.011665,0.019543,0.009102,0.002291,0, 0.119861,0.004167,0.018295,0.011466,0.021044,0.004435,0.005885,0.031509,0.025716,0.012169,0.018183,0.005052,0.007710,2.189415,0.582887,2.504193,3.246969,4.699073,3.708995,3.309668,1.380278,0.468253,1.327127,2.300914,2.354880,5.648049,4.630481,0.357610,1.458593,1.137794,0.898587,1.233829,6.323529,1.136054,1.525487,2.555799,1.190392,0.299619,0,15.675093,0.545010,2.392564,1.499460,2.752058,0.579952,0.769654,4.120639,3.363019,1.591413,2.377891,0.660632,1.008330
smalle waterpest,Elodea nuttallii (Planch.) St. John,En,0.351159,0.001540,0.005237, 0.044472, 0.035607,0.003293,0.022007, 0.035844,0,0.007273,0.006982,0,0, 0.053139,0.005075,0,0.026829, 0.022358,0.001970,0.001625,0.004724,0, 0.016979,0.007752,0,0, 0.033696,0,0,0,0,0.001968,0.001970,0,0.006999,0.003820,0,0,0,0.005331,0.001073,0.002302, 0.014518, 0.013181,0.009800,0.009674, 0.022650,0,0.003434,0.001243,0,0, 0.017254,0.004336,0,0.008163, 0.051118,0.004632,0.007227,0.000907,0, 0.013674,0.006612,0,0, 0.068945,0,0,0,0,0.001137,0.001714,0,0.002743,0.002714,0,0,0,4.556947,0.917579,1.967748,12.409357,11.267125,8.376976,8.268815,19.360591,0,2.935097,1.062370,0,0,14.748561,3.706257,0,6.977501,43.694696,3.959227,6.177607,0.775189,0,11.687942,5.651541,0,0,58.932989,0,0,0,0,0.971537,1.465470,0,2.344831,2.319532,0,0,0
mahonie,Mahonia aquifolium (Pursh) Nutt.,Maa,0.137399,0.000009,0.003431,0.006062,0.003073,0.000923,0.003197,0.001039,0.000348,0.003199,0.005945,0.003194,0.003598,0.002478,0.000006,0,0.001986,0.000274,0,0.001838,0.002235,0.000332,0.000558,0,0.000640,0.000085,0.000339,0,0,0.000022,0.000098,0.000526,0.000736,0.000205,0.001342,0.003187, 0.085596,0.000733,0.000165,0.009425,0.000027,0.006814,0.008942,0.005140,0.012410,0.006351,0.002966,0.000963,0.006825,0.004782,0.004147,0.014458,0.003635,0.000025,0,0.002731,0.002831,0,0.036934,0.001939,0.000635,0.002029,0,0.001232,0.004652,0.003136,0,0,0.000225,0.001234,0.001372,0.002894,0.001023,0.002377,0.010229, 0.163040,0.002813,0.000388,1.783014,0.005185,1.288976,1.691611,0.972307,2.347627,1.201386,0.561038,0.182109,1.291082,0.904577,0.784564,2.735060,0.687671,0.004656,0,0.516596,0.535598,0,6.986934,0.366773,0.120194,0.383915,0,0.233000,0.880094,0.593236,0,0,0.042556,0.233444,0.259614,0.547543,0.193610,0.449662,1.934953,30.842586,0.532088,0.073453
grote waternavel,Hydrocotyle ranunculoides L. f.,Hr,0.154047,0.001451,0.004303,0.013710,0.030709,0,0.009828, 0.018797,0.002016,0.005495,0.008858,0.002685,0.001277,0.020085,0.001738,0,0.001240,0,0,0,0.003093,0,0.003679,0,0.001277,0, 0.012089,0,0.001712,0,0,0,0.001486,0,0.003830,0,0.001061,0.001277,0.002353,0.003608,0.001559,0.002918,0.006904,0.017537,0,0.006664, 0.018323,0.001904,0.004002,0.002432,0.001190,0.001751,0.010060,0.002291,0,0.000582,0,0,0,0.000916,0,0.004570,0,0.000839,0, 0.038157,0,0.006649,0,0,0,0.001995,0,0.002316,0,0.000690,0.001672,0.001889,1.999044,0.864085,1.616802,3.825486,9.717234,0,3.692743,10.153033,1.055245,2.217673,1.347852,0.659488,0.970411,5.574539,1.269264,0,0.322534,0,0,0,0.507462,0,2.532351,0,0.465142,0,21.142861,0,3.684076,0,0,0,1.105396,0,1.283181,0,0.382131,0.926465,1.046836
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",Mr,0.076258,0.014650,0.024554,0.004745,0,0,0,0,0,0.003378,0,0.000307,0,0.010846,0,0,0,0,0, 0.010888,0,0,0,0,0.001237,0,0,0,0,0.000061,0,0,0,0,0,0,0,0.005236,0.000355,0.000435,0.003837,0.004057,0.000582,0,0,0,0,0,0.000600,0,0.000033,0,0.001324,0,0,0,0,0, 0.018201,0,0,0,0,0.000198,0,0,0,0,0.000053,0,0,0,0,0,0,0,0.001671,0.000070,0.989584,8.726342,9.225306,1.323912,0,0,0,0,0,1.363368,0,0.075352,0,3.010367,0,0,0,0,0,41.389379,0,0,0,0,0.450687,0,0,0,0,0.119956,0,0,0,0,0,0,0,3.799606,0.158105
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,Pj,0.058735,0,0,0,0,0,0,0,0,0.003360,0.019590,0, 0.015567,0,0,0.000500,0,0,0.004445,0,0.013759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001513,0.000173,0,0,0,0,0,0,0,0,0.000308,0.000678,0, 0.002691,0,0,0.000075,0,0,0.002033,0,0.000514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153,0.762198,0,0,0,0,0,0,0,0,1.356074,2.980798,0,11.832306,0,0,0.330461,0,0,8.935853,0,2.257605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673152
hemelboom,Ailanthus altissima (Mill.) Swingle,Aal,0.047082,0,0,0.002035,0,0,0.001163,0,0,0.001195,0.006802,0.001280,0.002339,0.001708,0,0,0.002186,0,0, 0.003293,0.002326,0,0,0,0,0,0.001475,0,0,0,0,0,0.000679,0,0,0,0.020601,0,0,0.001210,0,0,0.001125,0,0,0.000866,0,0,0.000955,0.002050,0.000623,0.003522,0.000939,0,0,0.001126,0,0, 0.024796,0.000756,0,0,0,0,0,0.005110,0,0,0,0,0,0.001000,0,0,0,0.014704,0,0,0.610971,0,0,0.567723,0,0,0.437050,0,0,0.482279,1.035038,0.314432,1.777923,0.474058,0,0,0.568454,0,0,12.517552,0.381711,0,0,0,0,0,2.579791,0,0,0,0,0,0.504976,0,0,0,7.422921,0,0
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",Up,0.671977,0,0, 0.158155, 0.194837,  0.039750, 0.130698, 0.040814,0,0,0,0,0,0.020154,0,0,0,0,0,0,0.020154,0.020154,0,0, 0.040308,0, 0.006954,0,0,0,0,0,0,0,0,0,0,0,0,0.000997,0,0, 0.005045, 0.007048,  0.011561, 0.005614, 0.002520,0,0,0,0,0,0.000639,0,0,0,0,0,0,0.000378,0.000833,0,0, 0.001679,0, 0.001390,0,0,0,0,0,0,0,0,0,0,0,0,8.720153,0,0,44.131180,61.652094,101.124070,49.108300,22.044926,0,0,0,0,0,5.593640,0,0,0,0,0,0,3.306890,7.290209,0,0,14.685266,0,12.161705,0,0,0,0,0,0,0,0,0,0,0,0
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",Es,0.228617,0,0.001482,0.023110,0.022175,0,0,0,0,0.002418, 0.120148,0.001004,0.002819,0.022345,0.004053,0,0.007998,0,0, 0.005262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131,0.002718,0.005469,0.006007,0,0.001482,0.004614,0,0.000866,0.010028,0.010912,0,0,0,0,0.001517, 0.028430,0.000383,0.003332,0.009644,0.004603,0,0.003235,0,0, 0.031107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192,0.001416,0.005164,0.003366,0,0.001025,2.966736,0,0.556662,6.448498,7.016816,0,0,0,0,0.975737,18.281479,0.246523,2.142599,6.201637,2.959847,0,2.079927,0,0,20.003087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123618,0.910625,3.320753,2.164341,0,0.659051
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",Rj,0.118801,0.001682,0.004930,0.007152,0.006678,0.001156,0.006268,0.001615,0.001000,0.002063,0.021371,0.005994,0.004818,0.005288,0.000201,0.001726,0.005050,0.000627,0.000288,0.001875,0.004405,0.001716,0.003580,0.000951,0.000843,0.000047,0.004010,0.000092,0.001479,0.000807,0.001767,0.000899,0.001714,0.002386,0.005916,0.002963,0.002419,0.001788,0.001241,0.028890,0.018777,0.034708,0.037399,0.039599,0.055132,0.044135,0.016345,0.009808,0.015600,0.060936,0.027594,0.068623,0.027501,0.002755,0.021351,0.024610,0.022946,0.010839,0.133537,0.013545,0.011635,0.046181,0.012986,0.005754,0.009102,0.131412,0.001475,0.059619,0.029878,0.078742,0.008316,0.023905,0.042165,0.037143,0.033715,0.016334,0.024311,0.010343,1.541666,1.002017,1.852162,1.995755,2.113124,2.942062,2.355201,0.872227,0.523414,0.832462,3.251785,1.472494,3.661954,1.467527,0.146992,1.139386,1.313262,1.224490,0.578405,7.125989,0.722794,0.620862,2.464391,0.692979,0.307074,0.485739,7.012591,0.078716,3.181460,1.594371,4.201960,0.443762,1.275655,2.250085,1.982088,1.799129,0.871663,1.297316,0.551934
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769",Tsi,0.684543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.538245,0,0,0,0, 0.146297,0,0,0.001659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.049619,0,0,0,0, 0.009846,0,0,8.883217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.665198,0,0,0,0,52.714783,0,0
boksdoorn,Lycium barbarum L.,Lb,0.396135,0,0,0,0,0,0,0,0,0,0.000384,0,0,0,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.395564,0,0,0.003831,0,0,0,0,0,0,0,0,0,0.000044,0,0,0,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.106221,0,0,5.140583,0,0,0,0,0,0,0,0,0,0.058505,0,0,0,0.136102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.532057,0,0
muskusrat,"Ondatra zibethicus Linnaeus, 1766",Oz,0.105031,0,0,0.000144,0.000887, 0.004519,0,0,0.000243,0.000625,0.001588,0.023586,0.000944,0.005683, 0.020682,0,0,0.000210,0.000148,0,0.002190,0,0.007272,0,0,0,0,0,0,0.003762,0,0,0.005105,0,0.022135,0.000877,0.002027,0.002351,0.000052,0.014933,0,0,0.000440,0.003076, 0.125963,0,0,0.001393,0.002762,0.002647,0.063481,0.007864,0.017280, 0.165487,0,0,0.004503,0.003256,0,0.003937,0,0.054851,0,0,0,0,0,0,0.081491,0,0,0.041616,0,0.081257,0.005837,0.008001,0.018695,0.000254,1.362972,0,0,0.040148,0.280725,11.496731,0,0,0.127157,0.252111,0.241574,5.793928,0.717748,1.577193,15.104137,0,0,0.410978,0.297135,0,0.359350,0,5.006257,0,0,0,0,0,0,7.437727,0,0,3.798368,0,7.416358,0.532717,0.730232,1.706349,0.023197
lettersierschildpad,"Trachemys scripta Schoepff, 1792",Tsc,0.232929,0.003290,0.005396,0.009684,0.006028,0.003462,0.009731,0.005016,0.001309,0.014337,0.043594,0.009693,0.010076,0.018926,0.000076,0.004986,0.003190,0.001368,0.000968, 0.020454,0.000812,0,0.005121,0.002898,0.001624,0, 0.007822,0,0.002334,0.000677,0,0.005541,0.006287,0.002419,0.010561,0.001328,0.004245,0.004493,0.005181,0.007196,0.004666,0.004827,0.006433,0.004541,0.020970,0.008705,0.006450,0.001632,0.013775,0.015792,0.005669,0.018233,0.012505,0.000131,0.007838,0.001975,0.006363,0.004632, 0.185108,0.000317,0,0.008393,0.005030,0.001409,0, 0.032570,0,0.011957,0.003188,0,0.006511,0.011137,0.005431,0.008424,0.001919,0.003641,0.007763,0.005487,3.022690,1.959871,2.027368,2.702206,1.907566,8.808398,3.656467,2.709283,0.685412,5.786242,6.633121,2.381194,7.658489,5.252817,0.055192,3.292426,0.829638,2.672598,1.945574,77.753246,0.133274,0,3.525210,2.112922,0.591723,0,13.680710,0,5.022544,1.338914,0,2.734856,4.678095,2.281459,3.538337,0.806250,1.529452,3.260768,2.304665
