soort,species,abbr,inVGLRL,inBE2100424,inBE2101437,inBE2101538,inBE2200626,inBE2219312,inBE2221314,inBE2223316,inBE2301134,inBE2301235,inBE2301336,inBE2500932,inBE2100323,inBE2101639,inBE2200525,inBE2200727,inBE2217310,inBE2218311,inBE2220313,inBE2300222,inBE2422315,inBE2500121,inBE2500831,inBE2501033,inBE2524317,ofVGLRL,ofBE2100424,ofBE2101437,ofBE2101538,ofBE2200626,ofBE2219312,ofBE2221314,ofBE2223316,ofBE2301134,ofBE2301235,ofBE2301336,ofBE2500932,ofBE2100323,ofBE2101639,ofBE2200525,ofBE2200727,ofBE2217310,ofBE2218311,ofBE2220313,ofBE2300222,ofBE2422315,ofBE2500121,ofBE2500831,ofBE2501033,ofBE2524317,selVGLRL,selBE2100424,selBE2101437,selBE2101538,selBE2200626,selBE2219312,selBE2221314,selBE2223316,selBE2301134,selBE2301235,selBE2301336,selBE2500932,selBE2100323,selBE2101639,selBE2200525,selBE2200727,selBE2217310,selBE2218311,selBE2220313,selBE2300222,selBE2422315,selBE2500121,selBE2500831,selBE2501033,selBE2524317
wasbeer,"Procyon lotor L., 1758",Plo,0.140815,0,0,0.010330,0, 0.024871,0.008290, 0.060942,0,0.011169,0,0,0,0,0,0,0.008255,0.016581,0,0,0,0,0,0.000375,0,0.000543,0,0,0.000553,0, 0.003675,0.000239, 0.003575,0,0.001010,0,0,0,0,0,0,0.000317,0.000707,0,0,0,0,0,0.000074,0,1.953428,0,0,1.989285,0,13.223160,0.860870,12.862849,0,3.632667,0,0,0,0,0,0,1.140341,2.542106,0,0,0,0,0,0.267312,0
gele maskerbloem,Erythranthe guttata (DC.) G.L.Nesom,Eg,0.106744,0,0,0,0,0.007022,0,0.013467,0,0.021586,0.006419,0,0,0.023825, 0.006419,0,0.006654,0.014932,0,0,0.006419,0,0,0,0,0.000532,0,0,0,0,0.001340,0,0.001020,0,0.002520,0.000443,0,0,0.002153, 0.004003,0,0.000330,0.000822,0,0,0.002515,0,0,0,0,1.480788,0,0,0,0,3.733491,0,2.842515,0,7.020542,1.234696,0,0,5.999388,11.151727,0,0.919078,2.289275,0,0,7.005649,0,0,0,0
rode Amerikaanse rivierkreeft,"Procambarus clarkii Girard, 1852",Pcl,0.206082,0,0,0,0,0,0.001149,0,0.004688,0.013686,0, 0.179061,0,0,0,0,0,0,0,0,0,0,0,0.007499,0,0.001757,0,0,0,0,0,0.000073,0,0.005024,0.002735,0, 0.015356,0,0,0,0,0,0,0,0,0,0,0,0.003281,0,2.858838,0,0,0,0,0,0.119258,0,8.175747,4.451122,0,24.988657,0,0,0,0,0,0,0,0,0,0,0,5.339922,0
marmergrondel,"Proterorhinus semilunaris (Heckel, 1837)",Ps,0.204437,0,0,0,0,0,0.077155,0,0,0,0,0,0, 0.127283,0,0,0,0,0,0,0,0,0,0,0,0.000232,0,0,0,0,0,0.000656,0,0,0,0,0,0, 0.002626,0,0,0,0,0,0,0,0,0,0,0,2.836023,0,0,0,0,0,8.011610,0,0,0,0,0,0,32.050635,0,0,0,0,0,0,0,0,0,0,0
kleine waterteunisbloem,Ludwigia peploides (Kunth) P.H. Raven,Lp,0.549633,0,0,0,0, 0.033097,0,0,0,0, 0.488535,0,0,0,0,0,0,0,0,  0.028001,0,0,0,0,0,0.000531,0,0,0,0, 0.001225,0,0,0,0, 0.006542,0,0,0,0,0,0,0,0,  0.013812,0,0,0,0,0,7.624694,0,0,0,0,17.596186,0,0,0,0,93.967739,0,0,0,0,0,0,0,0,198.403115,0,0,0,0,0
egeria,Elodea densa (Planch.) Casp.,Ed,0.052762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052762,0,0,0,0,0,0,0,0,0.000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334,0,0,0,0,0,0,0,0,0.731935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288211,0,0,0,0,0,0,0,0
ongelijkbladig vederkruid,Myriophyllum heterophyllum Michaux,Mh,0.034315,0,0,0.034315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000064,0,0,0.000887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476035,0,0,6.608446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische boomwurger,Celastrus orbiculatus Thunb.,Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zijdeplant,Asclepias syriaca L.,As,0.035103,0,0,0,0,0,0,0.035103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000033,0,0,0,0,0,0,0.000496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486958,0,0,0,0,0,0,7.409057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterhyacint,Eichhornia crassipes (Martius) Solms,Ec,0.183323,0,0,0,0,0,0,0,0,0, 0.091662,0, 0.091662,0,0,0,0,0,0,0,0,0,0,0,0,0.000064,0,0,0,0,0,0,0,0,0, 0.000443,0, 0.001438,0,0,0,0,0,0,0,0,0,0,0,0,2.543121,0,0,0,0,0,0,0,0,0,17.630742,0,57.215890,0,0,0,0,0,0,0,0,0,0,0,0
watersla,Pistia stratiotes L.,Pst,0.078663,0,0,0,0,0,0.027410,0.027410,0,0.023842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000092,0,0,0,0,0,0.000239,0.000486,0,0.000652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.091238,0,0,0,0,0,2.846245,5.785437,0,7.754298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Californische rivierkreeft,"Pacifastacus leniusculus Dana, 1852",Plen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestreepte Amerikaanse rivierkreeft,"Procambarus acutus (Girard, 1852)",Pa,0.379571,0,0.011447,0,0,  0.315164,0,0,0,0,0.050813,0,0,0,0,0.002148,0,0,0,0,0,0,0,0,0,0.000478,0,0.000344,0,0,  0.015196,0,0,0,0,0.000886,0,0,0,0,0.000113,0,0,0,0,0,0,0,0,0,5.265535,0,3.795834,0,0,167.560081,0,0,0,0,9.773597,0,0,0,0,1.248501,0,0,0,0,0,0,0,0,0
Kaapse waterlelie,Aponogeton distachyos L.f.,Ad,0.536936,0,0,0,0,0,0,  0.536936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000815,0,0,0,0,0,0,  0.012404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.448550,0,0,0,0,0,0,113.329601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grijze eekhoorn,"Sciurus carolinensis Gmelin, 1788",Sca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantsjoerese wilde rijst,Zizania latifolia (Griseb.) Hance ex F.Muell.,Zl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallas' eekhoorn,"Callosciurus erythraeus Pallas, 1779",Ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasaronskelk,Lysichiton americanus Hultén & H. St. John,La,0.098585,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.059200,0,0.039386,0,0,0,0,0,0,0,0,0.000160,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.012033,0,0.000637,0,0,0,0,0,0,0,0,1.367608,0,0,0,0,0,0,0,0,0,0,0,0,0,102.845218,0,5.440467,0,0,0,0,0,0,0,0
waterwaaier,Cabomba caroliniana Gray,Cca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese moerasslak,"Cipangopaludina chinensis (J.E.Gray, 1833)",Cch,0.500000,0,0,0,0,  0.50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000064,0,0,0,0,  0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.936163,0,0,0,0,265.82972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kesslergrondel,"Ponticola kessleri (Günther, 1861)",Pk,0.083400,0,0,0,0,0,0.083400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000021,0,0,0,0,0,0.000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156949,0,0,0,0,0,8.660082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wasbeerhond,"Nyctereutes procyonoides Gray, 1834",Np,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische hoornaar (soort),"Vespa velutina Lepeletier, 1836",Vv,0.012968,0,0.000049,0.000101,0.000029,0.000283,0.000170,0.001191,0.000140,0.003522,0.000170,0.000374,0.000154,0.000206,0.000295,0.000179,0.001106,0.000525,0,0.000028,0.000550,0.002735,0.000936,0.000202,0.000023,0.008197,0,0.000737,0.000887,0.003187,0.006845,0.000804,0.011450,0.011127,0.052187,0.001486,0.002377,0.004378,0.002363,0.023367,0.004747,0.006963,0.003667,0,0.009071,0.027368,0.152224,0.011322,0.006563,0.002850,0.179901,0,0.016166,0.019477,0.069938,0.150233,0.017644,0.251297,0.244218,1.145390,0.032613,0.052176,0.096076,0.051866,0.512847,0.104182,0.152830,0.080486,0,0.199086,0.600651,3.340957,0.248495,0.144039,0.062552
Leidse plant,Saururus cernuus L.,Sce,0.232306,0,0,0,0,0,0,0,0, 0.099491,0,0,0,0,  0.132815,0,0,0,0,0,0,0,0,0,0,0.000056,0,0,0,0,0,0,0,0, 0.000561,0,0,0,0,  0.004003,0,0,0,0,0,0,0,0,0,0,3.222625,0,0,0,0,0,0,0,0,32.357948,0,0,0,0,230.733980,0,0,0,0,0,0,0,0,0,0
treurmaina,"Acridotheres tristis Linnaeus, 1766",At,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasanemoon,Houttuynia cordata Thunb.,Hc,0.039058,0,0,0,0,0,0,0,0,0.025959,0,0,0,0, 0.013099,0,0,0,0,0,0,0,0,0,0,0.000048,0,0,0,0,0,0,0,0,0.000749,0,0,0,0, 0.002020,0,0,0,0,0,0,0,0,0,0,0.541825,0,0,0,0,0,0,0,0,8.442910,0,0,0,0,22.755518,0,0,0,0,0,0,0,0,0,0
Turkse rivierkreeft,"Pontastacus leptodactylus (Eschscholtz, 1823)",Plep,0.187452,0,0,0,0,0,0,0,0,0,0, 0.187452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000064,0,0,0,0,0,0,0,0,0,0, 0.000643,0,0,0,0,0,0,0,0,0,0,0,0,0,2.600399,0,0,0,0,0,0,0,0,0,0,26.159702,0,0,0,0,0,0,0,0,0,0,0,0,0
marmerkreeft,"Procambarus virginalis Lyko, 2017",Pv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sikahert,"Cervus nippon Temminck, 1838",Cn,0.654718,0,0,0,0,  0.628635,0.026083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000802,0,0,0,0,  0.029525,0.000239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.082461,0,0,0,0,334.219977,2.708360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse voseekhoorn,"Sciurus niger L., 1758",Sn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gewone gunnera,Gunnera tinctoria (Molina) Mirbel,Gt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)",Mb, 1.000000,0,0,0,0,0,  1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000193,0,0,0,0,0,  0.001444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.872325,0,0,0,0,0,103.838138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans steltgras,Microstegium vimineum (Trin.) A. Camus,Mvim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontische stroomgrondel,"Neogobius fluviatilis (Pallas, 1814)",Nf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afrikaanse klauwkikker,"Xenopus laevis (Daudin, 1802)",Xl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fraai lampenpoetsersgras,Cenchrus setaceus (Forssk.) Morrone,Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grote vlotvaren,Salvinia molesta D.S.Mitch.,Sm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
